asset	width	height	previousMax	newWebGLMax
Assets/Idyllic Italian Coast Town/Textures/M_doors_italian_BaseMap.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_doors_italian_MaskMap.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_doors_italian_Normal.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_floortiles_ceramic_BaseColor.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_floortiles_ceramic_Normal.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_skybox_01.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_skybox_cloudy.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_windows_italian_BaseMap.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_windows_italian_Emissive.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_windows_italian_MaskMap.png	2048	2048	2048	1024
Assets/Idyllic Italian Coast Town/Textures/M_windows_italian_Normal.png	2048	2048	2048	1024
Assets/picture-frame/textures/pictureframe.png	2048	2048	2048	1024
Assets/Shaded Spectrum/Cozy Interiors Demo Pack/Textures/Gingham Kitchen Linen/GinghamKitchenLinenAlbedo.png	2048	2048	2048	1024
Assets/Shaded Spectrum/Cozy Interiors Demo Pack/Textures/Gingham Kitchen Linen/GinghamKitchenLinenAmbientOcclusionMap.png	2048	2048	2048	1024
Assets/Shaded Spectrum/Cozy Interiors Demo Pack/Textures/Gingham Kitchen Linen/GinghamKitchenLinenDisplacementMap.png	2048	2048	2048	1024
Assets/Shaded Spectrum/Cozy Interiors Demo Pack/Textures/Gingham Kitchen Linen/GinghamKitchenLinenNormalMap.png	2048	2048	2048	1024
Assets/Shaded Spectrum/Cozy Interiors Demo Pack/Textures/Painted Beech Wall Boards/PaintedBeechWallBoardsAlbedo.png	2048	2048	2048	1024
Assets/Shaded Spectrum/Cozy Interiors Demo Pack/Textures/Painted Beech Wall Boards/PaintedBeechWallBoardsAmbientOcclusionMap.png	2048	2048	2048	1024
Assets/Shaded Spectrum/Cozy Interiors Demo Pack/Textures/Painted Beech Wall Boards/PaintedBeechWallBoardsDisplacementMap.png	2048	2048	2048	1024
Assets/Shaded Spectrum/Cozy Interiors Demo Pack/Textures/Painted Beech Wall Boards/PaintedBeechWallBoardsNormalMap.png	2048	2048	2048	1024
Assets/SubstanceAssets/LittleGamesPack/Textures/GamePieces/GamePieces_Base_color.png	4096	4096	4096	1024
Assets/SubstanceAssets/LittleGamesPack/Textures/GamePieces/GamePieces_Metallic.png	4096	4096	4096	1024
Assets/SubstanceAssets/LittleGamesPack/Textures/GamePieces/GamePieces_Mixed_AO.png	4096	4096	4096	1024
Assets/SubstanceAssets/LittleGamesPack/Textures/GamePieces/GamePieces_Normal_OpenGL.png	4096	4096	4096	1024
Assets/TerrainSampleAssets/Textures/Terrain/Black_Sand_BaseColor.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Black_Sand_MaskMap.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Black_Sand_Normal.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Grass_B_BaseColor.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Grass_B_MaskMap.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Grass_B_Normal.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Dry_BaseColor.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Dry_MaskMap.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Dry_Normal.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Moss_BaseColor.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Moss_MaskMap.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Moss_Normal.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_C_BaseColor.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_C_MaskMap.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_C_Normal.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Sand_BaseColor.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Sand_MaskMap.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Sand_Normal.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Soil_Rocks_BaseColor.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Soil_Rocks_MaskMap.tif	2048	2048	2048	1024
Assets/TerrainSampleAssets/Textures/Terrain/Soil_Rocks_Normal.tif	2048	2048	2048	1024
