asset	subAsset	kind	detail
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_66	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_67	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_68	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_69	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_70	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_71	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_72	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_73	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_74	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_75	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_76	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Texture_2 _00	Texture2D	1024x1024 fmt=DXT5 mips=11 estMB=1.4
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_0	Mesh	verts=3024 tris=3124 submeshes=1 readable=False bounds=(2.63, 0.05, 4.17)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_1	Mesh	verts=88 tris=80 submeshes=1 readable=False bounds=(2.27, 0.42, 3.75)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_2	Mesh	verts=3024 tris=3124 submeshes=1 readable=False bounds=(2.63, 0.05, 4.17)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_3	Mesh	verts=3954 tris=5128 submeshes=1 readable=False bounds=(4.67, 0.11, 9.51)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_4	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.19, 0.51, 0.19)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_5	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.19, 0.51, 0.19)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_6	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.19, 0.51, 0.19)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_7	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.19, 0.51, 0.19)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_8	Mesh	verts=3434 tris=4484 submeshes=1 readable=False bounds=(4.67, 0.10, 9.51)
