room_or_exhibit,object_class,sample_objects,current_renderer_count,proposed_renderer_count,current_material_slots,unique_materials,objects_share_materials,move_independently,individual_interaction_required,occlusion_culling_harm_risk,overdraw_risk,lightmapping_harder_risk,static_batching_already_solves,expected_benefit,risk
SecondFloor/SecondRoom,Architecture,_SceneContent/Home/SecondFloor/SecondRoom/shower/Bathroom_wall (3);_SceneContent/Home/SecondFloor/SecondRoom/shower/Bathroom_wall (6);_SceneContent/Home/SecondFloor/SecondRoom/shower/Bathroom_wall (1);_SceneContent/Home/SecondFloor/SecondRoom/shower/Bathroom_wall (4);_SceneContent/Home/SecondFloor/SecondRoom/shower/Bathroom_wall (5);_SceneContent/Home/SecondFloor/SecondRoom/shower/Bathroom_wall;_SceneContent/Home/SecondFloor/SecondRoom/shower/Bathroom_wall (7);_SceneContent/Home/SecondFloor/SecondRoom/shower/Bathroom_wall (2),8,1,8,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,Partially,Medium,Medium
FirstFloor/DiningRoom,Architecture,_SceneContent/Home/FirstFloor/DiningRoom/SM_chair_02;_SceneContent/Home/FirstFloor/DiningRoom/SM_chair_02 (4);_SceneContent/Home/FirstFloor/DiningRoom/SM_chair_02 (1);_SceneContent/Home/FirstFloor/DiningRoom/SM_chair_02 (2);_SceneContent/Home/FirstFloor/DiningRoom/SM_chair_02 (3);_SceneContent/Home/FirstFloor/DiningRoom/SM_chair_02 (5);_SceneContent/Home/FirstFloor/DiningRoom/SM_table_cafe_square,7,1,7,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,Partially,Medium,Medium
SecondFloor/Temp_SecondFloor_Planning,Architecture,_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/walls/SM_wall_base (110);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/walls/SM_wall_base (109);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/walls/SM_wall_base (107);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/walls/SM_wall_base (112);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/walls/SM_wall_base (108);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/walls/SM_wall_base (111);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/walls/SM_wall_base (79),7,1,7,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
FirstFloor/FirstFloorWalls,Architecture,_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (35);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (36);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (41);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (79);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (27);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (22);_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindow2m (1)/WallWindow2m (1),7,1,7,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
SecondFloor/SecondRoom,Architecture,_SceneContent/Home/SecondFloor/SecondRoom/Floor4m (6);_SceneContent/Home/SecondFloor/SecondRoom/Floor4m (3);_SceneContent/Home/SecondFloor/SecondRoom/Floor4m (1);_SceneContent/Home/SecondFloor/SecondRoom/Floor4m (7);_SceneContent/Home/SecondFloor/SecondRoom/Floor4m (4);_SceneContent/Home/SecondFloor/SecondRoom/Floor4m (5);_SceneContent/Home/SecondFloor/SecondRoom/Floor4m (2),7,1,7,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
Exhibit:BTMMP_Workstation_Assembly,Vegetation,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/flowerbarrel_with_tulips/Object_4;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/flowerbarrel_with_tulips/Object_7;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/flowerbarrel_with_tulips/Object_5;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/flowerbarrel_with_tulips/Object_6;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/flowerbarrel_with_tulips/Object_3;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/flowerbarrel_with_tulips/Object_2,6,1,6,1,Yes,Unknown/likely no for static scenery,Likely no,Low,Low,Low,No,Medium,Low
_SceneContent/Home,Architecture,_SceneContent/Home/structure/stair;_SceneContent/Home/structure/stair;_SceneContent/Home/structure/stair;_SceneContent/Home/structure/stair;_SceneContent/Home/structure/stair;_SceneContent/Home/structure/stair,6,1,6,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
_SceneContent/Home,Architecture,_SceneContent/Home/HomeFrontStructure/Patio_Window_Shutter (4);_SceneContent/Home/HomeFrontStructure/Patio_Window_Shutter (3);_SceneContent/Home/HomeFrontStructure/Patio_Window_Shutter (1);_SceneContent/Home/HomeFrontStructure/Patio_Window_Shutter (2);_SceneContent/Home/HomeFrontStructure/Patio_Window_Shutter (5);_SceneContent/Home/HomeFrontStructure/Patio_Window_Shutter,6,1,12,2,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
FirstFloor/DiningRoom,Architecture,_SceneContent/Home/FirstFloor/DiningRoom/WallWindow4mCurtain (1)/Curtain4m;_SceneContent/Home/FirstFloor/DiningRoom/WallWindow4mCurtain (2)/Curtain4m;_SceneContent/Home/FirstFloor/DiningRoom/WallWindow4mCurtain/Curtain4m;_SceneContent/Home/FirstFloor/DiningRoom/WallWindow4mCurtain (1)/CurtainPole4m;_SceneContent/Home/FirstFloor/DiningRoom/WallWindow4mCurtain (2)/CurtainPole4m;_SceneContent/Home/FirstFloor/DiningRoom/WallWindow4mCurtain/CurtainPole4m,6,1,6,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
FirstFloor/FirstFloorWalls,Architecture,_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m/WindowTallGlass4m;_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m (3)/WindowTallGlass4m;_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindow2m/WindowGlass2m;_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindow2m (1)/WindowGlass2m;_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m (2)/WindowTallGlass4m;_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m (1)/WindowTallGlass4m,6,1,6,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
SecondFloor/SecondRoom,Architecture,_SceneContent/Home/SecondFloor/SecondRoom/SM_fence_03 (1);_SceneContent/Home/SecondFloor/SecondRoom/SM_fence_03 (2);_SceneContent/Home/SecondFloor/SecondRoom/SM_fence_03;_SceneContent/Home/SecondFloor/SecondRoom/SM_fence_rounded;_SceneContent/Home/SecondFloor/SecondRoom/SM_fence_02,5,1,5,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,Partially,Medium,Medium
SecondFloor/MemoryRoom,Architecture,_SceneContent/Home/SecondFloor/MemoryRoom/Pen/Object001;_SceneContent/Home/SecondFloor/MemoryRoom/Pen/Object002;_SceneContent/Home/SecondFloor/MemoryRoom/Pen/Object005;_SceneContent/Home/SecondFloor/MemoryRoom/Pen/Object007;_SceneContent/Home/SecondFloor/MemoryRoom/Pen/Object004,5,1,5,0,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,Partially,Medium,Medium
SecondFloor/FrontSecondFloor,Architecture,_SceneContent/Home/SecondFloor/FrontSecondFloor/SM_fence_02 (3);_SceneContent/Home/SecondFloor/FrontSecondFloor/SM_fence_02 (4);_SceneContent/Home/SecondFloor/FrontSecondFloor/SM_fence_02 (2);_SceneContent/Home/SecondFloor/FrontSecondFloor/SM_fence_02 (1);_SceneContent/Home/SecondFloor/FrontSecondFloor/SM_fence_02,5,1,5,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
Exterior/Backyard,SmallProp,_SceneContent/Home/Exterior/Backyard/well/Torus;_SceneContent/Home/Exterior/Backyard/path/stone/Plane (5);_SceneContent/Home/Exterior/Backyard/path/stone/Plane (6);_SceneContent/Home/Exterior/Backyard/path/stone/Plane (8);_SceneContent/Home/Exterior/Backyard/path/stone/Plane (4),5,1,5,1,Yes,Unknown/likely no for static scenery,Review,Low,Low,Low,No,Medium,Low
FirstFloor/LivingRoom,Architecture,_SceneContent/Home/FirstFloor/LivingRoom/80sTelevision/TV/TV Front Panel 01/Controls Panel;_SceneContent/Home/FirstFloor/LivingRoom/80sTelevision/TV/TV Front Panel 01/Controls Panel/Channel Buttons;_SceneContent/Home/FirstFloor/LivingRoom/80sTelevision/TV/TV Back;_SceneContent/Home/FirstFloor/LivingRoom/80sTelevision/TV/TV Front Panel 01/Controls Panel/Slider Button.001;_SceneContent/Home/FirstFloor/LivingRoom/80sTelevision/TV/TV Front Panel 01/Controls Panel/Slider Button,5,1,5,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
FirstFloor/FirstFloorWalls,FlatDecoration,_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m (3)/WindowFrameTall4m;_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m (2)/WindowFrameTall4m;_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m (1)/WindowFrameTall4m;_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindow2m (1)/WindowFrame2m;_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindow2m/WindowFrame2m,5,1,5,1,Yes,Unknown/likely no for static scenery,Likely no,Low,Low,Low,No,Medium,Low
FirstFloor/FirstFloorWalls,Architecture,_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m/WallWindowTall4m;_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m/WallWindowTall4mSkirting;_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m (3)/WallWindowTall4mSkirting;_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m (2)/WallWindowTall4mSkirting;_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m (1)/WallWindowTall4mSkirting,5,1,5,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
Exhibit:RI,HighPolyArtifact,_SceneContent/ImplementedContributorInstallations/RI/Fish_Asset/glass_fish/SM_Body/SM_Body_M_Body_0;_SceneContent/ImplementedContributorInstallations/RI/Fish_Asset/glass_fish/SM_InnerBody/SM_InnerBody_M_InnerBody_0;_SceneContent/ImplementedContributorInstallations/RI/Fish_Asset/glass_fish/SM_Body/SM_Body_M_Body_0;_SceneContent/ImplementedContributorInstallations/RI/Fish_Asset/glass_fish/SM_Body/SM_Body_M_Body_0,4,1,4,1,Yes,Unknown/likely no for static scenery,Review,Low,Low,Low,No,Medium,Low
Exhibit:BTMMP_Workstation_Assembly,SmallProp,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/Plane_0/Object_4;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/Plane_0/Object_5;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/BezierCircle_2/Object_9;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/Plane.001_1/Object_7,4,1,4,1,Yes,Unknown/likely no for static scenery,Review,Low,Low,Low,No,Medium,Low
Exhibit:BTMMP_Workstation_Assembly,SmallProp,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/Cilindro low-bajo/group2/Mid_2;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/Cilindro low-bajo/group2/cilindro_low1;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/Cilindro low-bajo/group2/pCylinder8;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/Cilindro low-bajo/group2/pCylinder9,4,1,7,1,Yes,Unknown/likely no for static scenery,Review,Low,Low,Low,No,Medium,Low
SecondFloor/Roof,Architecture,_SceneContent/Home/SecondFloor/Roof/SM_building_modular_roof_2x1_01 (3);_SceneContent/Home/SecondFloor/Roof/SM_building_modular_roof_2x1_01 (2);_SceneContent/Home/SecondFloor/Roof/SM_building_modular_roof_2x1_01 (1);_SceneContent/Home/SecondFloor/Roof/SM_building_modular_roof_2x1_01 (4),4,1,16,4,Partially,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
FirstFloor/LivingRoom,Vegetation,_SceneContent/Home/FirstFloor/LivingRoom/PlantPotMedium/PlantSnakeLarge;_SceneContent/Home/FirstFloor/LivingRoom/PlantPotRoundMedium/PlantSnakeLarge;_SceneContent/Home/FirstFloor/LivingRoom/PlantPotMedium;_SceneContent/Home/FirstFloor/LivingRoom/PlantPotRoundMedium,4,1,4,1,Yes,Unknown/likely no for static scenery,Likely no,Low,Low,Low,No,Medium,Low
_SceneContent/Home,Architecture,_SceneContent/Home/HomeFrontStructure/SM_wall_base (16);_SceneContent/Home/HomeFrontStructure/SM_wall_base (15);_SceneContent/Home/HomeFrontStructure/SM_wall_base (10);_SceneContent/Home/HomeFrontStructure/SM_wall_base (17),4,1,4,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
_SceneContent/Home,Architecture,_SceneContent/Home/HomeFrontStructure/SM_wall_base (11);_SceneContent/Home/HomeFrontStructure/SM_wall_base (9);_SceneContent/Home/HomeFrontStructure/SM_wall_base (6);_SceneContent/Home/HomeFrontStructure/SM_wall_base (21),4,1,4,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
SecondFloor/Temp_SecondFloor_Planning,Architecture,_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/SM_wall_base (13);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/SM_wall_base (11);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/SM_wall_base (14);_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/SM_wall_base (12),4,1,4,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
Exterior/Porch,Architecture,_SceneContent/Home/Exterior/Porch/DoorStructure/SM_wall_base (1);_SceneContent/Home/Exterior/Porch/DoorStructure/SM_wall_base (3);_SceneContent/Home/Exterior/Porch/DoorStructure/SM_wall_base (4);_SceneContent/Home/Exterior/Porch/DoorStructure/SM_wall_base (6),4,1,4,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
Exterior/Backyard,SmallProp,_SceneContent/Home/Exterior/Backyard/path/dirt/Plane (1);_SceneContent/Home/Exterior/Backyard/path/dirt/Plane;_SceneContent/Home/Exterior/Backyard/path/dirt/Plane (2);_SceneContent/Home/Exterior/Backyard/path/dirt/Plane (3),4,1,4,1,Yes,Unknown/likely no for static scenery,Review,Low,Low,Low,No,Medium,Low
FirstFloor/LivingRoom,Architecture,_SceneContent/Home/FirstFloor/LivingRoom/LampTall/LampShadeTube;_SceneContent/Home/FirstFloor/LivingRoom/LampTall/LampSelfStanding;_SceneContent/Home/FirstFloor/LivingRoom/LampTall/LampShadeMedium;_SceneContent/Home/FirstFloor/LivingRoom/TableRectangleShort,4,1,4,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
SecondFloor/MemoryRoom,Architecture,_SceneContent/Home/SecondFloor/MemoryRoom/BookShelf/Books/Box102 (2);_SceneContent/Home/SecondFloor/MemoryRoom/BookShelf/Books/Box102 (1);_SceneContent/Home/SecondFloor/MemoryRoom/BookShelf/Books/Box109 (5);_SceneContent/Home/SecondFloor/MemoryRoom/BookShelf/Books/Box102,4,1,4,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,Partially,Medium,Medium
SecondFloor/MemoryRoom,Architecture,_SceneContent/Home/SecondFloor/MemoryRoom/BookShelf/Books/Box104 (2);_SceneContent/Home/SecondFloor/MemoryRoom/BookShelf/Books/Box104 (1);_SceneContent/Home/SecondFloor/MemoryRoom/BookShelf/Books/Box103 (6);_SceneContent/Home/SecondFloor/MemoryRoom/BookShelf/Books/Box104,4,1,4,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,Partially,Medium,Medium
SecondFloor/Temp_SecondFloor_Planning,FlatDecoration,_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (12)/WindowFrame2m;_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (14)/WindowFrame2m;_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (15)/WindowFrame2m;_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (13)/WindowFrame2m,4,1,4,1,Yes,Unknown/likely no for static scenery,Likely no,Low,Low,Low,No,Medium,Low
SecondFloor/Temp_SecondFloor_Planning,Architecture,_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (13)/WindowGlass2m;_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (14)/WindowGlass2m;_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (15)/WindowGlass2m;_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (12)/WindowGlass2m,4,1,4,1,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
BuildProfiles/XR,SmallProp,BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Right Controller/Teleport Interactor;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Right Controller/Near-Far Interactor/LineVisual;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Left Controller/Teleport Interactor;BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Left Controller/Near-Far Interactor/LineVisual,4,1,4,1,Yes,Unknown/likely no for static scenery,Review,Low,Low,Low,No,Medium,Low
