scene,object_path,prefab,mesh_asset,mesh_name,triangle_count,material_count,static_flags,estimated_distance_from_player,typical_screen_coverage,current_cast_shadows,current_receive_shadows,object_class,classification,reason,recommended_cast_shadows_after,recommended_receive_shadows_after,has_mesh_collider,mesh_collider_triangles,lod_group,visual_risk
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (13)/WindowFrame2m,Assets/UnityTechnologies/Basic Asset Pack Interior/Prefabs/Walls/WallWindow2m.prefab,Assets/UnityTechnologies/Basic Asset Pack Interior/Models/Walls/WallWindow2m.FBX,WindowFrame2m,44,1,0,6.588,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/HomeFrontStructure/WallWindow2m/WindowFrame2m,Assets/UnityTechnologies/Basic Asset Pack Interior/Prefabs/Walls/WallWindow2m.prefab,Assets/UnityTechnologies/Basic Asset Pack Interior/Models/Walls/WallWindow2m.FBX,WindowFrame2m,44,1,0,6.075,Medium,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/HomeFrontStructure/WallWindow2m (1)/WindowFrame2m,Assets/UnityTechnologies/Basic Asset Pack Interior/Prefabs/Walls/WallWindow2m.prefab,Assets/UnityTechnologies/Basic Asset Pack Interior/Models/Walls/WallWindow2m.FBX,WindowFrame2m,44,1,0,5.254,Medium,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,True,44,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindow2m (1)/WindowFrame2m,Assets/UnityTechnologies/Basic Asset Pack Interior/Prefabs/Walls/WallWindow2m.prefab,Assets/UnityTechnologies/Basic Asset Pack Interior/Models/Walls/WallWindow2m.FBX,WindowFrame2m,44,1,0,1.706,Medium,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,True,44,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindow2m/WindowFrame2m,Assets/UnityTechnologies/Basic Asset Pack Interior/Prefabs/Walls/WallWindow2m.prefab,Assets/UnityTechnologies/Basic Asset Pack Interior/Models/Walls/WallWindow2m.FBX,WindowFrame2m,44,1,0,4.699,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,True,44,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/MemoryRoom/StudyRoom WallPicture,Assets/DevDen Arch Viz Scotland/Prefabs/Study Room/StudyRoom WallPicture.prefab,Assets/DevDen Arch Viz Scotland/Models/Study Room/Picture01_3.FBX,Picture01_3,30,2,-1,7.787,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,True,30,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/HousingMap_Preview/Artifact_HousingMap/MapSurface,Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_HousingMap.prefab,Library/unity default resources,Cube,12,1,0,5.469,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/HousingMap_Preview/Artifact_HousingMap/MapFrame,Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_HousingMap.prefab,Library/unity default resources,Cube,12,1,0,5.444,Medium,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/PhotoAlbum_Preview/fotostand,Assets/DevDen Arch Viz Scotland/Prefabs/Bed Room/fotostand.prefab,Assets/DevDen Arch Viz Scotland/Models/Bed Room/fotostand.fbx,pCube1,12,1,-1,5.222,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,True,12,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Photo_Asset/Photo-Album/fotostand (1),Assets/DevDen Arch Viz Scotland/Prefabs/Bed Room/fotostand.prefab,Assets/DevDen Arch Viz Scotland/Models/Bed Room/fotostand.fbx,pCube1,12,1,-1,3.185,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,True,12,,Low
