asset	width	height	format	mips	readable	maxSize	compression	crunch	sRGB	type	sourceSizeBytes
Assets/DevDen Arch Viz Scotland/Textures/Common/note_pad/note_pad_note_pad_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	21250
Assets/DevDen Arch Viz Scotland/Textures/Common/note_pad/note_pad_note_pad_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	2272259
Assets/DevDen Arch Viz Scotland/Textures/Dining Room/dinning_chair/dinning_chair_diining_chair_wood_AO.png	1024	1024	DXT1Crunched	11	True	1024	Compressed	False	True	Default	690358
Assets/DevDen Arch Viz Scotland/Textures/Dining Room/dinning_chair/dinning_chair_diining_chair_wood_AlbedoTransparency.png	1024	1024	DXT1Crunched	11	True	1024	Compressed	False	True	Default	3051844
Assets/DevDen Arch Viz Scotland/Textures/Dining Room/dinning_chair/dinning_chair_diining_chair_wood_MetallicSmoothness.png	1024	1024	DXT5Crunched	11	True	1024	Compressed	False	True	Default	78120
Assets/DevDen Arch Viz Scotland/Textures/Dining Room/dinning_chair/dinning_chair_diining_chair_wood_Normal.png	1024	1024	DXT5Crunched	11	True	1024	Compressed	False	False	NormalMap	2030473
Assets/DevDen Arch Viz Scotland/Textures/Environment/Floor Texture/floor mat 1_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	2272612
Assets/DevDen Arch Viz Scotland/Textures/Kitchen Room/side_piece/side_piece_marble_AO.png	1024	1024	DXT1Crunched	11	True	1024	Compressed	False	True	Default	288814
Assets/DevDen Arch Viz Scotland/Textures/Kitchen Room/side_piece/side_piece_marble_AlbedoTransparency.png	1024	1024	DXT1Crunched	11	True	1024	Compressed	False	True	Default	4606213
Assets/DevDen Arch Viz Scotland/Textures/Kitchen Room/side_piece/side_piece_marble_MetallicSmoothness.png	1024	1024	DXT5Crunched	11	True	1024	Compressed	False	True	Default	78120
Assets/DevDen Arch Viz Scotland/Textures/Kitchen Room/side_piece/side_piece_marble_Normal.png	1024	1024	DXT5Crunched	11	True	1024	Compressed	False	False	NormalMap	111190
Assets/DevDen Arch Viz Scotland/Textures/Living Room/TV_Shelf/TV_Shelf_DefaultMaterial_MetallicSmoothness.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	6540
Assets/DevDen Arch Viz Scotland/Textures/Living Room/sofa_2/sofa_2_01 - Default_AO.png	1024	1024	DXT1Crunched	11	True	1024	Compressed	False	True	Default	1857745
Assets/DevDen Arch Viz Scotland/Textures/Living Room/sofa_2/sofa_2_01 - Default_AlbedoTransparency.png	1024	1024	DXT1Crunched	11	True	1024	Compressed	False	True	Default	1854457
Assets/DevDen Arch Viz Scotland/Textures/Living Room/sofa_2/sofa_2_01 - Default_MetallicSmoothness.png	1024	1024	DXT5Crunched	11	True	1024	Compressed	False	True	Default	2203480
Assets/DevDen Arch Viz Scotland/Textures/Study Room/StudyRoom Carpet/Atlas1_Metallic_Smoothness.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	4292
Assets/DevDen Arch Viz Scotland/Textures/Study Room/StudyRoom Carpet/Atlas_1.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	2814449
Assets/DevDen Arch Viz Scotland/Textures/Study Room/StudyRoom Carpet/Emission.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	194769
Assets/DevDen Arch Viz Scotland/Textures/Study Room/imac/Imac_imac_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	2361977
Assets/DevDen Arch Viz Scotland/Textures/Study Room/imac/Imac_imac_AlbedoTransparency_emission.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	1952400
Assets/DevDen Arch Viz Scotland/Textures/Study Room/imac/Imac_imac_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	71195
Assets/DevDen Arch Viz Scotland/Textures/Study Room/imac/Imac_imac_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	2816229
Assets/DevDen Arch Viz Scotland/Textures/Study Room/table/Study Table_AO.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	1660237
Assets/DevDen Arch Viz Scotland/Textures/Study Room/table/Study Table_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	3005971
Assets/DevDen Arch Viz Scotland/Textures/Study Room/table/Study Table_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	139707
Assets/DevDen Arch Viz Scotland/Textures/Study Room/table/Study Table_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	17290
Assets/Furniture Mega Pack/Textures/Bathroom/AtlasTexture_BathroomCollection_BathroomCollection_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	375705
Assets/Furniture Mega Pack/Textures/Bathroom/AtlasTexture_BathroomCollection_BathroomCollection_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	1604071
Assets/Furniture Mega Pack/Textures/Bathroom/AtlasTexture_BathroomCollection_BathroomCollection_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	2526123
Assets/Furniture Mega Pack/Textures/Bed/BedFrame/AtlasTexture_BedFrame_AtlasTexture_BedFrame_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	4861539
Assets/Furniture Mega Pack/Textures/Bed/BedFrame/AtlasTexture_BedFrame_AtlasTexture_BedFrame_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	1683128
Assets/Furniture Mega Pack/Textures/Bed/BedFrame/AtlasTexture_BedFrame_AtlasTexture_BedFrame_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	6486874
Assets/Furniture Mega Pack/Textures/Bed/Blanket/AtlasTexture_Blanket_DefaultMaterial_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	6560489
Assets/Furniture Mega Pack/Textures/Bed/Blanket/AtlasTexture_Blanket_DefaultMaterial_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	1060641
Assets/Furniture Mega Pack/Textures/Bed/Blanket/AtlasTexture_Blanket_DefaultMaterial_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	11151857
Assets/Furniture Mega Pack/Textures/Bed/Mattress/AtlasTexture_Mattress_DefaultMaterial_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	3650635
Assets/Furniture Mega Pack/Textures/Bed/Mattress/AtlasTexture_Mattress_DefaultMaterial_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	1621187
Assets/Furniture Mega Pack/Textures/Bed/Mattress/AtlasTexture_Mattress_DefaultMaterial_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	12162323
Assets/Furniture Mega Pack/Textures/Chairs/Chair09/Chair09_mat_Chair09_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	2185686
Assets/Furniture Mega Pack/Textures/Chairs/Chair09/Chair09_mat_Chair09_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	2133722
Assets/Furniture Mega Pack/Textures/Chairs/Chair09/Chair09_mat_Chair09_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	8397819
Assets/Furniture Mega Pack/Textures/Chairs/Chair26/Chair26_mat_Chair26_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	923192
Assets/Furniture Mega Pack/Textures/Chairs/Chair26/Chair26_mat_Chair26_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	1481375
Assets/Furniture Mega Pack/Textures/Chairs/Chair26/Chair26_mat_Chair26_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	3618054
Assets/Furniture Mega Pack/Textures/Chairs/Chair37/Chair37_mat_Chair37_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	3665272
Assets/Furniture Mega Pack/Textures/Chairs/Chair37/Chair37_mat_Chair37_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	1934302
Assets/Furniture Mega Pack/Textures/Chairs/Chair37/Chair37_mat_Chair37_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	4305754
Assets/Furniture Mega Pack/Textures/Chairs/Chair47/Chair47_mat_Chair47_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	3633489
Assets/Furniture Mega Pack/Textures/Chairs/Chair47/Chair47_mat_Chair47_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	2067806
Assets/Furniture Mega Pack/Textures/Chairs/Chair47/Chair47_mat_Chair47_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	4567915
Assets/Furniture Mega Pack/Textures/Chairs/Chair48/Chair48_mat_Chair48_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	2295487
Assets/Furniture Mega Pack/Textures/Chairs/Chair48/Chair48_mat_Chair48_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	1323674
Assets/Furniture Mega Pack/Textures/Chairs/Chair48/Chair48_mat_Chair48_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	7776845
Assets/Furniture Mega Pack/Textures/Chairs/Chair49/Chair49_mat_Chair49_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	1682339
Assets/Furniture Mega Pack/Textures/Chairs/Chair49/Chair49_mat_Chair49_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	1884063
Assets/Furniture Mega Pack/Textures/Chairs/Chair49/Chair49_mat_Chair49_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	5786125
Assets/Furniture Mega Pack/Textures/Closet/AtlasTexture_Closet_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	5572886
Assets/Furniture Mega Pack/Textures/Closet/AtlasTexture_Closet_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	1941861
Assets/Furniture Mega Pack/Textures/Closet/AtlasTexture_Closet_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	4446409
Assets/Furniture Mega Pack/Textures/Cushions/Cushion01_08/Cushion01_08_mat_Cushion01_08_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	1550685
Assets/Furniture Mega Pack/Textures/Cushions/Cushion01_08/Cushion01_08_mat_Cushion01_08_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	587678
Assets/Furniture Mega Pack/Textures/Cushions/Cushion01_08/Cushion01_08_mat_Cushion01_08_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	7292178
Assets/Furniture Mega Pack/Textures/Cushions/Cushion17_24/Cushion17_24_mat_Cushion17_24_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	3152843
Assets/Furniture Mega Pack/Textures/Cushions/Cushion17_24/Cushion17_24_mat_Cushion17_24_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	2163889
Assets/Furniture Mega Pack/Textures/Cushions/Cushion17_24/Cushion17_24_mat_Cushion17_24_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	7957032
Assets/Furniture Mega Pack/Textures/Tables/Table06/Table06_mat_Table06_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	2938717
Assets/Furniture Mega Pack/Textures/Tables/Table06/Table06_mat_Table06_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	1321933
Assets/Furniture Mega Pack/Textures/Tables/Table06/Table06_mat_Table06_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	3472976
Assets/Furniture Mega Pack/Textures/Tables/Table38/Table38_mat_Table38_AlbedoTransparency.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	2973386
Assets/Furniture Mega Pack/Textures/Tables/Table38/Table38_mat_Table38_MetallicSmoothness.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	1906818
Assets/Furniture Mega Pack/Textures/Tables/Table38/Table38_mat_Table38_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	4477878
Assets/HyTeKGames/SRPMaterialConverter/ConvertedMaterials/Maps/balcony_wood_AO.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	78118
Assets/HyTeKGames/SRPMaterialConverter/ConvertedMaterials/Maps/balcony_wood_Metallic.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	73381
Assets/HyTeKGames/SRPMaterialConverter/ConvertedMaterials/Maps/carpet_AO.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	84060
Assets/HyTeKGames/SRPMaterialConverter/ConvertedMaterials/Maps/carpet_Metallic.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	73381
Assets/Idyllic Italian Coast Town/Textures/M_attachments_stone_BaseMap.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	5109032
Assets/Idyllic Italian Coast Town/Textures/M_attachments_stone_MaskMap.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	4193225
Assets/Idyllic Italian Coast Town/Textures/M_attachments_stone_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	2728269
Assets/Idyllic Italian Coast Town/Textures/M_boat_kit_BaseMap.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	2802620
Assets/Idyllic Italian Coast Town/Textures/M_boat_kit_MaskMap.png	1024	1024	DXT5	11	False	1024	Compressed	False	True	Default	2837213
Assets/Idyllic Italian Coast Town/Textures/M_boat_kit_Normal.png	1024	1024	DXT5	11	False	1024	Compressed	False	False	NormalMap	3463901
Assets/Idyllic Italian Coast Town/Textures/M_chairs_BaseMap.png	1024	1024	DXT1	11	False	1024	Compressed	False	True	Default	1922253
