scene,object_path,renderer,prev_cast,new_cast,prev_receive,new_receive,mesh_triangles,status
Assets/BH_XR_MainScene.unity,_SceneContent/Home/Exterior/SM_boat_pylon,MeshRenderer,On,Off,True,True,1260,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/NotePads/Notepad (2),MeshRenderer,On,Off,True,True,1188,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/NotePads/Notepad,MeshRenderer,On,Off,True,True,1188,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/NotePads/Notepad (1),MeshRenderer,On,Off,True,True,1188,APPLIED
Assets/BH_XR_MainScene.unity,BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Right Controller/Poke Interactor/Poke Point/Pinch_Pointer_LOD0,SkinnedMeshRenderer,On,Off,True,True,1088,APPLIED
Assets/BH_XR_MainScene.unity,BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Left Controller/Poke Interactor/Poke Point/Pinch_Pointer_LOD0,SkinnedMeshRenderer,On,Off,True,True,1088,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Kitchen_asset/cake_display/pCylinder1/pCylinder1_standardSurface3_0,MeshRenderer,On,Off,True,True,1080,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_132,SkinnedMeshRenderer,On,Off,True,True,976,APPLIED
Assets/BH_XR_MainScene.unity,BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/XRController_Thumbstick_Buttons/Button_B,MeshRenderer,On,Off,True,True,910,APPLIED
Assets/BH_XR_MainScene.unity,BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/XRController_Thumbstick_Buttons/Button_A,MeshRenderer,On,Off,True,True,910,APPLIED
Assets/BH_XR_MainScene.unity,BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/XRController_Thumbstick_Buttons/Button_B,MeshRenderer,On,Off,True,True,910,APPLIED
Assets/BH_XR_MainScene.unity,BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/XRController_Thumbstick_Buttons/Button_A,MeshRenderer,On,Off,True,True,910,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/SecurityCamera/SecurityCamera_LowPoly,MeshRenderer,On,Off,True,True,824,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_234,SkinnedMeshRenderer,On,Off,True,True,824,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_225,SkinnedMeshRenderer,On,Off,True,True,824,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_216,SkinnedMeshRenderer,On,Off,True,True,824,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_207,SkinnedMeshRenderer,On,Off,True,True,824,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/Exterior/Bushes/Bush_03 (12)/Bush_03_LOD0,MeshRenderer,On,Off,True,True,778,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/Exterior/Bushes/Bush_03 (9)/Bush_03_LOD0,MeshRenderer,On,Off,True,True,778,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/Exterior/Bushes/Bush_03 (1)/Bush_03_LOD0,MeshRenderer,On,Off,True,True,778,APPLIED
