asset,dim,default_max_prev,default_max_new,webgl_override,android_override,readwrite_prev,readwrite_new,status
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/foto_frame_3/Painting_StandPhoto_A_Paintings_House_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/foto_frame_3/Painting_StandPhoto_A_Paintings_House_Normal.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/FOTO_FRAME_4/Painting_StandPhoto_C_Paintings_House_AlbedoTransparency.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/FOTO_FRAME_4/Painting_StandPhoto_C_Paintings_House_AO.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/FOTO_FRAME_4/Painting_StandPhoto_C_Paintings_House_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/FOTO_FRAME_4/Painting_StandPhoto_C_Paintings_House_Normal.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/FOTO_FRAME_4/Paintings_House_MaskMap.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/Photo_stand/fotostand_fotostand_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/Photo_stand/fotostand_fotostand_AO.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/Photo_stand/fotostand_fotostand_MetallicSmoothness.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/Photo_stand/fotostand_fotostand_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/AirConditioner/airconditioner_DefaultMaterial_AlbedoTransparency.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/AirConditioner/airconditioner_DefaultMaterial_AO.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/AirConditioner/airconditioner_DefaultMaterial_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/AirConditioner/airconditioner_DefaultMaterial_Normal.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/AirConditioner/airconditioner_emision.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/CUTLERY/Cutlery FBX_Cutlery_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/CUTLERY/Cutlery FBX_Cutlery_AO.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/CUTLERY/Cutlery FBX_Cutlery_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/door and handle/door and handles_door1_MetallicSmoothness.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/door and handle/door and handles_door1_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/door and handle/door and handles_door_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/door and handle/door and handles_handle_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/door and handle/door and handles_handle_AO.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/door and handle/door and handles_handle_MetallicSmoothness.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/door and handle/door and handles_handle_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Common/Interior_props/CommonCeramic01.png,1024,2048,2048,-,-,True,False,APPLIED
