prefab,pathObject,rendererCount,totalVertices,totalTriangles,materialSlots,meshColliderCount,meshColliderTriangles,lodGroupCount,shadowCasters,architectureCandidate
"Assets/Coconut Palm Tree Pack/Prefabs/AFS/Coconut_Palm_Tree12_AFS.prefab","Coconut_Palm_Tree12_AFS",1,2564,2004,1,0,0,1,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/Coconut_Palm_Tree01.prefab","Coconut_Palm_Tree01",1,3278,2664,1,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/Coconut_Palm_Tree02.prefab","Coconut_Palm_Tree02",1,2478,2452,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/Coconut_Palm_Tree03.prefab","Coconut_Palm_Tree03",1,2749,2716,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/Coconut_Palm_Tree04.prefab","Coconut_Palm_Tree04",1,2065,2072,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/Coconut_Palm_Tree05.prefab","Coconut_Palm_Tree05",1,2308,2268,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/Coconut_Palm_Tree06.prefab","Coconut_Palm_Tree06",1,2445,2300,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/Coconut_Palm_Tree07.prefab","Coconut_Palm_Tree07",1,2083,1924,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/Coconut_Palm_Tree08.prefab","Coconut_Palm_Tree08",1,2564,2492,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/Coconut_Palm_Tree09.prefab","Coconut_Palm_Tree09",1,2341,2232,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/Coconut_Palm_Tree10.prefab","Coconut_Palm_Tree10",1,2162,2024,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/Coconut_Palm_Tree11.prefab","Coconut_Palm_Tree11",1,2697,2616,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/Coconut_Palm_Tree12.prefab","Coconut_Palm_Tree12",1,2140,2004,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree01.prefab","Coconut_Palm_Tree01",1,0,0,2,0,0,0,1,False
