path,width,height,format,isReadable,mipmapCount,runtimeMemoryBytes,fileBytes,maxTextureSize,textureCompression,crunched,alphaSource,sRGBTexture,wrapMode,filterMode
"Assets/Animated Tropical Vegetation/Textures/billboards/small_tree_2_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,635033,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/small_tree_2_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,166534,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/small_tree_3_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,672615,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/small_tree_3_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,183465,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/small_tree_4_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,626055,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/small_tree_4_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,165484,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/tropical_plant_billboard_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,286929,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/billboards/tropical_plant_billboard_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,46364,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/bushy_palm_1_color.png",512,512,"RGBA_DXT5_SRGB",False,10,700080,167053,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/bushy_palm_1_normal.png",512,512,"RGBA_DXT5_UNorm",False,10,700080,107798,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/bushy_palm_2_color.png",1024,512,"RGBA_DXT5_SRGB",False,11,1399152,340346,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/bushy_palm_2_normal.png",1024,512,"RGBA_DXT5_UNorm",False,11,1399152,137628,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/dead_tree_bark_color.png",1024,1024,"RGBA_DXT1_SRGB",False,11,1399104,1319627,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/dead_tree_bark_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,1469356,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/dead_tree_leaves_color.png",512,512,"RGBA_DXT5_SRGB",False,10,700080,93176,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/dead_tree_leaves_normal.png",512,512,"RGBA_DXT5_UNorm",False,10,700080,21447,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/jungle_bush_leaves_color.png",512,512,"RGBA_DXT5_SRGB",False,10,700080,277959,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/jungle_bush_leaves_normal.png",512,512,"RGBA_DXT5_UNorm",False,10,700080,61250,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/palm_tree_1_bark_color.png",1024,1024,"RGBA_DXT1_SRGB",False,11,1399104,2516353,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/palm_tree_1_bark_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,2595514,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/palm_tree_1_leaves_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,1259815,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/palm_tree_1_leaves_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,201269,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
