path,shader,renderQueue,enableInstancing,mainTexture
"Assets/DevDen Arch Viz Scotland/Materials/balcony/balcony_chair1.mat","Universal Render Pipeline/Lit",2000,True,"Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony_chair/balcony_ chair_balcony_chair1_AlbedoTransparency.png"
"Assets/DevDen Arch Viz Scotland/Materials/balcony/balcony_glass.mat","Universal Render Pipeline/Lit",3000,True,"Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony/balcony_balcony_glass_AlbedoTransparency.png"
"Assets/DevDen Arch Viz Scotland/Materials/balcony/balcony_mat1.mat","Universal Render Pipeline/Lit",2000,True,"Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony_mat/balcony_mat_balcony_mat1_AlbedoTransparency.png"
"Assets/DevDen Arch Viz Scotland/Materials/balcony/balcony_metal.mat","Universal Render Pipeline/Lit",2000,True,"Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony/balcony_balcony_metal_AlbedoTransparency.png"
"Assets/DevDen Arch Viz Scotland/Materials/balcony/balcony_table_2.mat","Universal Render Pipeline/Lit",2000,True,"Assets/DevDen Arch Viz Scotland/Textures/Balcony/balconY_tacle/balcony_table_balcony_table_2_AlbedoTransparency.png"
"Assets/DevDen Arch Viz Scotland/Materials/balcony/balcony_wood.mat","Universal Render Pipeline/Lit",2000,True,"Assets/DevDen Arch Viz Scotland/Textures/Environment/Floor Texture/floor mat 1_AlbedoTransparency.png"
"Assets/DevDen Arch Viz Scotland/Materials/balcony/flower.mat","Universal Render Pipeline/Lit",2000,True,"Assets/DevDen Arch Viz Scotland/Textures/Balcony/flower_pot/flower_pot_1_flower_AlbedoTransparency.png"
"Assets/DevDen Arch Viz Scotland/Materials/balcony/leaf.mat","Universal Render Pipeline/Lit",2000,True,"Assets/DevDen Arch Viz Scotland/Textures/Balcony/flower_pot/flower_pot_1_leaf_AlbedoTransparency.png"
"Assets/DevDen Arch Viz Scotland/Materials/balcony/plant_pot.mat","Universal Render Pipeline/Lit",2000,True,"Assets/DevDen Arch Viz Scotland/Textures/Balcony/flower_pot/flower_pot_1_plant_pot_AlbedoTransparency.png"
"Assets/DevDen Arch Viz Scotland/Materials/balcony/wines.mat","Universal Render Pipeline/Lit",2000,False,"Assets/DevDen Arch Viz Scotland/Textures/Balcony/flower_pot/flower_pot_1_wines_AlbedoTransparency.png"
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/Bathroom Shelf.mat","Universal Render Pipeline/Lit",2000,False,""
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/bathroom_cabin.mat","Universal Render Pipeline/Lit",2000,True,"Assets/DevDen Arch Viz Scotland/Textures/Bathroom/bathroom_cabin/bathroom_cabin_bathroom_cabin_AlbedoTransparency.png"
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/bathroom_floor3.mat","Universal Render Pipeline/Lit",2000,True,"Assets/DevDen Arch Viz Scotland/Textures/Environment/inner_wall/inner_wall_bathroom_floor3_AlbedoTransparency.png"
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/Bathroom_glass_1.mat","Universal Render Pipeline/Lit",3000,True,""
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/bathroom_shelf.mat","Universal Render Pipeline/Lit",2000,True,"Assets/DevDen Arch Viz Scotland/Textures/Bathroom/bathroom_shelf/bathroom_shelf_bathroom_shelf_AlbedoTransparency.png"
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/bathroom_wall3.mat","Universal Render Pipeline/Lit",2000,True,"Assets/DevDen Arch Viz Scotland/Textures/Environment/inner_wall/inner_wall_bathroom_wall3_AlbedoTransparency.png"
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/bathroom_wall_mat_1.mat","Universal Render Pipeline/Lit",2000,False,"Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Tile_Bath/SubwayTile - baseColor.png"
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/ceiling_light.mat","Universal Render Pipeline/Lit",2000,True,""
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/ceiling_light_emission.mat","Universal Render Pipeline/Lit",2000,True,""
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/ceramic.mat","Universal Render Pipeline/Lit",2000,True,""
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/LightEmission01.mat","Universal Render Pipeline/Lit",2000,True,""
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/M_toilet.mat","Universal Render Pipeline/Lit",2000,True,"Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Toilet/toilet_DefaultMaterial_AlbedoTransparency.png"
