path,type,fileBytes,vertices,triangles,subMeshes,reason
"Assets/DevDen Arch Viz Scotland/Materials/balcony/balcony_chair1.mat","Material",4101,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/balcony/balcony_glass.mat","Material",10312,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/balcony/balcony_mat1.mat","Material",9946,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/balcony/balcony_metal.mat","Material",9938,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/balcony/balcony_table_2.mat","Material",4102,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/balcony/balcony_wood.mat","Material",9987,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/balcony/flower.mat","Material",4020,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/balcony/leaf.mat","Material",4120,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/balcony/plant_pot.mat","Material",4043,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/balcony/wines.mat","Material",4032,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/Bathroom Shelf.mat","Material",9383,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/bathroom_cabin.mat","Material",4153,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/bathroom_floor3.mat","Material",3960,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/Bathroom_glass_1.mat","Material",10613,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/bathroom_shelf.mat","Material",4152,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/bathroom_wall3.mat","Material",4028,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/bathroom_wall_mat_1.mat","Material",4071,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/ceiling_light.mat","Material",3926,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/ceiling_light_emission.mat","Material",3954,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/ceramic.mat","Material",3794,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/LightEmission01.mat","Material",9476,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/M_toilet.mat","Material",9986,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/M_washbasin2.mat","Material",9991,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/metaldryer.mat","Material",9878,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/Mirror01.mat","Material",9826,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/phong1.mat","Material",4071,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/toilet_wood1.mat","Material",4035,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/toilet_wood_1.mat","Material",4100,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/tolpaper.mat","Material",9986,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/towl_2.mat","Material",4021,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/washingglass.mat","Material",9839,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/washingMachine.mat","Material",9879,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bathroom/washingmachineclosed.mat","Material",9881,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/bed.mat","Material",4018,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/bed_coat.mat","Material",4022,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/bed_lamp_glass1.mat","Material",4631,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/bed_sheet.mat","Material",3924,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/bed_sider.mat","Material",4096,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/bedroom_floor3.mat","Material",4149,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/bedroom_wall4.mat","Material",4028,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/bedroom_wood_side_table.mat","Material",9928,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/Bedroom_wood_table.mat","Material",9943,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/bedside_lamp1.mat","Material",4099,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/carpet.mat","Material",9939,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/CommonCeramic01.mat","Material",9883,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/CommonCeramic02Biege.mat","Material",9922,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/CommonPlastic01.mat","Material",9584,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/dressing_mirror1.mat","Material",9871,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/dressing_mirror_glass.mat","Material",4190,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/glass_wall_glass4.mat","Material",4539,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/Paintings_House.mat","Material",9941,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/Paintings_House_1.mat","Material",9942,0,0,0,name/path heuristic
