path,fileBytes,meshAssets,totalVertices,totalTriangles,totalSubMeshes,readWrite,meshCompression,importMaterials,generateColliders,globalScale
"Assets/DevDen Arch Viz Scotland/Models/Common/notepad.obj",96734,1,911,1188,1,True,Off,True,False,0.01
"Assets/DevDen Arch Viz Scotland/Models/Common/plate_1.fbx",99648,1,1922,3520,1,False,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Common/socket.FBX",318176,1,1326,770,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Common/switch.FBX",65001,1,142,108,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Dining Room/Cutlery.obj",164843,5,1693,1668,5,True,Off,True,False,0.01
"Assets/DevDen Arch Viz Scotland/Models/Dining Room/dinning_chair.fbx",1325633,1,2786,3888,2,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Dining Room/dinning_table.fbx",44861,1,208,104,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Dining Room/Table_mat.fbx",36800,1,507,744,1,False,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Dining Room/trash-can.fbx",36780,2,836,798,2,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Environment/archviz.fbx",259296,18,6175,4587,31,False,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/chopping-board.fbx",29568,1,363,276,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/coffeemachine.FBX",575639,1,1874,1384,1,True,Off,True,False,1.2
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/dish-rack.fbx",42924,1,2208,1104,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/frifge.fbx",34352,1,660,408,3,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/induction-hob.fbx",14988,1,64,46,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/Kettle.fbx",53008,1,921,864,1,True,Off,True,False,0.75
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/kitchen_2.fbx",141968,24,992,604,24,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/kitchen_bottom.fbx",531328,71,8478,6613,76,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/kitchen_top.fbx",345824,63,2372,1570,64,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/kitchen_top_piece.fbx",22624,1,16,8,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/knife-block.fbx",24784,1,76,48,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/knife1.fbx",20892,1,233,256,1,True,Off,True,False,0.6
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/knife2.fbx",19724,1,201,216,1,True,Off,True,False,0.6
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/mug-tree.fbx",57248,1,1313,1392,1,True,Off,True,False,0.2
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/side_piece.fbx",3809312,37,2017,1236,45,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/TOASTER.obj",83712,1,1077,1072,1,True,Off,True,False,0.01
"Assets/DevDen Arch Viz Scotland/Models/Living Room/chair_5.FBX",106032,1,2238,2808,1,True,Off,False,False,0.01
"Assets/DevDen Arch Viz Scotland/Models/Living Room/laptop.FBX",78849,1,259,200,1,True,Off,True,False,2
"Assets/DevDen Arch Viz Scotland/Models/Living Room/RemoteControl.FBX",96347,1,188,186,1,True,Off,True,False,0.2
"Assets/DevDen Arch Viz Scotland/Models/Living Room/sofa_2.obj",440972,1,4127,4742,1,True,Off,True,False,0.01
"Assets/DevDen Arch Viz Scotland/Models/Living Room/Tea Table.fbx",87049,1,324,252,1,True,Off,True,False,1
